"Total Estimated and Projected Population of California by Age: July 1, 2010 to July 1, 2060 in 1-year Increments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estimates,,,,,,,,,,Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Age (0-100+),"37,367,579","37,729,544","38,101,155","38,410,053","38,742,595","39,055,383","39,308,636","39,590,613","39,817,785","39,959,095","40,129,160","40,311,230","40,507,293","40,716,512","40,938,929","41,176,614","41,405,901","41,629,615","41,847,285","42,058,192","42,263,654","42,461,647","42,654,978","42,841,669","43,021,656","43,195,083","43,360,813","43,519,832","43,669,966","43,812,425","43,946,643","44,072,690","44,191,353","44,301,823","44,403,234","44,497,568","44,583,707","44,661,842","44,733,261","44,797,918","44,856,461","44,909,335","44,958,356","45,005,009","45,048,839","45,091,810","45,132,424","45,172,615","45,214,116","45,256,227","45,299,375"
0,"493,645","510,167","496,655","499,055","498,884","501,018","488,592","482,306","461,623","452,221","458,584","455,034","451,875","449,548","447,928","447,130","446,632","445,715","445,217","444,364","443,632","442,339","442,490","442,453","442,600","442,672","442,698","443,148","443,243","443,329","443,356","442,700","442,311","441,716","440,798","439,326","436,773","434,681","432,620","430,667","428,570","426,362","424,833","424,377","423,274","423,193","422,790","423,075","423,537","423,854","424,551"
1,"496,803","492,790","509,300","495,850","498,214","498,138","500,354","487,869","481,654","461,034","450,783","457,209","453,591","450,527","448,199","446,692","445,851","445,269","444,498","444,059","443,181","442,439","441,181","441,403","441,387","441,583","441,650","441,678","442,113","442,229","442,378","442,413","441,835","441,434","440,871","439,920","438,472","435,954","433,842","431,782","429,861","427,778","425,635","424,149","423,696","422,644","422,466","422,160","422,404","422,899","423,144"
2,"512,026","496,473","490,626","507,297","492,021","493,339","490,743","494,105","481,869","474,728","454,325","444,980","454,898","450,903","447,309","445,272","443,127","440,407","437,839","435,883","435,361","434,619","433,504","432,399","432,622","432,956","433,030","432,864","433,287","433,850","433,753","433,983","434,169","433,325","433,065","432,469","431,297","430,108","427,586","425,047","423,411","421,716","419,419","417,357","415,913","415,744","414,613","414,344","413,896","414,440","414,827"
3,"516,440","514,022","500,614","493,207","511,871","495,820","494,651","493,427","495,843","482,341","475,575","455,314","445,429","457,190","453,354","449,792","448,360","448,165","444,711","441,542","439,790","438,741","438,466","437,001","435,950","436,559","436,797","436,765","436,461","436,698","437,814","437,358","437,709","438,151","437,319","436,999","436,379","435,164","434,002","431,685","428,426","426,955","425,515","422,971","421,263","419,520","419,176","418,028","417,902","417,148","417,969"
4,"509,839","518,920","517,407","504,145","496,032","516,732","499,928","498,643","497,614","498,850","485,958","479,289","458,454","448,380","461,569","457,615","454,034","452,710","454,880","450,814","447,553","446,034","444,810","444,555","443,664","441,734","442,331","442,858","442,722","442,803","442,634","443,978","443,334","443,629","444,223","443,226","443,179","442,630","441,493","440,203","437,905","434,865","432,810","431,896","428,597","426,807","425,479","424,977","424,112","423,688","423,021"
5,"506,610","512,345","523,199","520,118","507,560","500,104","521,704","505,582","504,078","501,941","503,635","490,836","483,056","462,163","452,251","466,382","462,374","458,611","457,693","462,282","458,236","455,142","453,751","452,719","451,887","451,192","449,530","450,233","450,674","450,273","450,447","450,363","451,668","451,115","451,105","451,964","450,940","450,599","449,916","449,069","448,000","445,062","442,477","440,063","439,451","436,269","434,289","433,232","432,482","431,941","431,329"
6,"500,382","507,667","514,530","525,001","522,064","510,097","503,129","525,334","508,402","505,518","502,641","504,144","491,380","483,906","463,250","453,376","468,789","464,746","462,074","462,302","467,989","463,285","459,523","457,564","455,918","454,628","453,844","451,196","452,120","452,361","451,597","451,764","451,532","452,886","452,426","452,256","453,134","451,948","451,709","451,200","450,072","449,158","446,048","443,101","440,990","440,465","437,071","435,347","433,971","432,880","432,737"
7,"498,734","499,764","508,135","514,287","525,123","522,285","509,958","503,884","526,719","508,075","504,841","501,656","502,875","490,416","483,362","462,934","453,246","469,143","465,720","463,700","464,991","471,354","465,608","461,654","459,232","456,875","455,428","454,065","451,380","452,323","451,836","451,475","451,438","451,198","452,404","452,086","451,650","452,469","451,504","451,566","450,959","449,309","448,473","445,397","442,526","440,539","439,776","436,597","434,782","433,595","432,429"
8,"495,022","500,194","502,004","509,577","516,040","527,529","524,407","512,970","506,407","528,161","509,434","506,173","502,788","504,066","491,856","485,049","465,119","455,368","471,667","468,816","467,095","469,264","475,876","469,860","465,565","463,004","459,960","458,737","456,703","453,862","454,978","454,379","454,099","454,127","453,710","455,136","454,532","454,351","455,111","453,863","454,365","453,655","452,030","451,062","447,796","445,117","442,839","442,334","439,077","437,552","436,085"
9,"504,504","495,648","501,552","503,195","510,879","518,052","528,876","526,291","514,799","507,071","530,034","511,327","507,827","504,307","505,782","493,679","486,711","466,833","457,110","473,411","470,846","469,604","472,425","479,348","473,002","468,559","465,884","462,316","460,823","458,629","456,061","457,168","455,943","455,945","455,762","455,689","457,107","456,065","456,183","456,398","455,483","455,866","455,364","453,975","452,648","449,824","446,572","444,621","443,849","440,968","439,131"
10,"511,119","502,365","493,830","499,750","502,590","510,339","516,865","528,000","525,846","513,544","505,624","529,170","510,782","506,940","503,490","505,138","493,335","486,019","465,875","456,033","472,408","470,353","469,587","472,957","480,450","473,778","468,975","465,854","462,295","460,457","458,236","455,755","456,986","455,237","455,508","455,472","455,444","457,140","455,694","455,946","455,961","455,164","455,742","455,367","453,642","452,586","449,540","446,707","444,322","443,939","440,766"
11,"509,811","511,375","503,166","494,257","499,947","503,142","510,325","517,418","528,519","525,223","513,158","505,454","529,384","511,398","507,625","503,975","505,373","493,826","486,382","465,729","455,633","472,097","470,788","470,384","474,424","481,961","475,034","470,079","466,981","463,261","461,159","458,776","456,371","457,529","455,885","456,288","456,311","456,093","457,831","456,272","456,647","456,883","455,978","456,691","455,971","454,165","453,387","450,383","447,533","444,905","444,640"
12,"511,555","511,599","513,584","505,177","497,149","502,276","505,046","512,533","519,490","529,818","526,971","515,253","507,958","532,147","513,959","510,148","506,357","507,575","496,027","488,440","467,488","457,141","473,679","472,627","472,748","477,296","485,411","478,089","472,685","469,648","465,936","463,653","461,495","459,082","460,246","458,367","458,810","459,114","458,599","460,350","458,817","459,065","459,272","458,546","459,431","458,645","456,860","455,880","453,151","450,351","447,270"
13,"521,615","512,945","513,362","515,438","507,270","498,947","503,666","506,580","513,830","520,500","530,815","528,424","517,220","510,315","534,686","516,281","512,054","508,277","509,241","497,359","489,610","468,442","458,282","475,103","474,461","474,811","479,489","487,983","480,558","475,076","471,956","468,056","465,889","463,932","461,285","462,342","460,522","460,990","461,358","460,821","462,621","460,903","461,381","461,456","460,958","461,573","460,684","458,964","458,236","455,167","452,536"
14,"532,148","522,878","514,558","514,793","517,250","509,182","500,349","506,133","508,479","515,394","522,305","532,752","530,703","519,792","513,013","537,552","518,441","514,322","509,905","510,884","498,624","490,837","469,178","459,258","476,103","476,193","476,730","481,992","490,850","483,112","477,502","474,493","470,633","468,371","466,263","463,500","464,307","462,890","463,419","463,880","463,159","465,078","463,098","463,958","463,498","463,150","463,915","463,191","461,405","460,420","457,520"
15,"544,092","534,138","524,965","515,635","515,894","518,865","510,664","502,514","507,931","509,319","516,737","523,541","534,299","532,409","521,779","515,084","539,627","520,438","516,114","511,413","512,044","499,387","492,013","469,681","460,027","476,810","477,714","478,501","484,096","493,458","485,421","479,816","476,717","473,046","470,714","468,610","465,953","466,579","465,146","465,790","466,459","465,613","467,271","465,413","466,231","465,891","465,904","465,985","465,404","463,608","462,867"
16,"555,559","547,566","538,350","528,158","518,669","519,233","521,454","514,108","505,896","511,008","512,583","520,131","527,135","538,138","536,258","525,913","518,975","543,491","523,744","519,369","514,286","514,451","501,559","494,564","471,975","462,752","479,442","481,083","481,988","487,992","497,541","489,448","483,906","480,617","477,187","474,730","472,607","469,968","471,088","469,377","469,822","470,627","469,939","471,346","469,805","470,272","469,938","469,986","470,009","469,840","467,834"
17,"563,761","565,054","557,639","548,931","539,348","530,797","530,562","532,823","525,244","516,905","522,049","524,177","531,648","538,771","549,971","548,666","537,990","530,682","555,401","535,113","530,429","524,933","524,930","511,823","504,470","482,273","473,056","490,305","492,397","493,541","499,796","509,305","501,319","495,834","492,771","489,210","486,877","484,732","481,941","483,337","481,254","482,200","482,841","482,069","483,483","481,753","482,711","481,825","482,260","481,870","481,933"
18,"593,027","657,849","659,863","652,912","645,909","637,021","628,724","628,570","631,439","623,513","615,741","621,135","623,539","630,926","638,077","649,665","648,120","637,529","629,884","654,156","633,178","628,240","622,588","622,227","609,039","601,297","579,245","570,575","587,944","590,380","592,582","599,068","608,882","600,899","595,503","592,317","589,155","586,554","584,151","581,453","583,040","580,911","581,908","582,254","582,149","583,106","581,634","582,259","581,640","581,915","581,848"
19,"581,839","594,929","645,863","642,466","638,322","635,479","628,578","624,650","625,858","624,016","618,149","611,734","618,630","621,761","629,855","638,303","649,201","646,536","633,978","625,863","649,712","629,361","625,275","620,799","621,145","608,552","602,267","582,077","572,426","592,691","594,917","598,454","605,205","614,489","604,525","599,239","595,291","591,588","588,978","587,249","584,584","584,679","582,825","582,997","583,667","583,670","584,931","583,536","584,176","583,212","584,537"
20,"579,048","580,995","602,967","650,088","648,139","643,227","640,240","635,356","630,921","628,355","627,972","622,242","617,361","624,277","628,587","636,651","645,085","656,319","652,257","638,576","629,843","654,241","633,788","630,307","626,171","626,038","613,328","608,366","588,048","578,384","599,474","601,738","605,094","612,346","620,858","611,061","606,304","602,959","598,578","596,208","593,640","592,070","591,540","590,077","590,282","590,045","590,485","591,860","590,118","590,813","589,034"
21,"558,339","568,671","575,656","597,385","640,999","636,331","630,175","629,860","623,729","617,393","616,345","616,984","610,704","607,272","614,737","619,410","627,253","636,396","647,735","643,251","629,767","620,491","644,227","624,494","620,697","616,892","616,944","602,646","597,734","577,742","568,473","589,849","591,753","595,768","602,989","611,158","601,877","596,633","593,686","589,221","586,797","583,593","582,380","582,234","580,378","580,890","580,358","580,676","582,746","580,686","580,120"
22,"547,618","551,233","564,067","569,698","592,032","631,379","625,623","620,318","619,190","611,093","605,511","604,910","606,673","601,095","598,178","606,450","610,935","619,195","629,765","640,774","635,693","621,969","612,344","636,899","616,919","612,869","608,643","608,114","593,511","588,897","567,997","559,081","580,393","582,949","586,996","594,248","601,985","593,167","587,686","584,225","579,983","578,029","574,495","574,126","572,737","571,493","571,462","571,439","571,121","573,236","572,211"
23,"540,521","539,122","543,931","554,608","561,789","581,630","617,625","612,137","605,679","605,302","597,333","592,601","592,487","594,389","589,357","587,470","596,072","600,986","610,998","621,844","633,535","627,180","613,810","603,048","627,180","608,332","603,372","598,136","597,215","582,100","577,841","555,906","547,328","567,399","572,083","575,348","582,515","590,137","581,426","576,072","572,992","569,270","566,898","562,950","562,850","561,935","560,731","560,146","560,451","559,730","562,121"
24,"546,731","535,312","535,659","537,259","547,521","553,727","574,734","608,634","602,249","597,117","596,972","589,208","584,569","585,302","586,968","582,732","581,800","590,460","595,536","607,081","618,183","630,775","623,554","609,056","598,524","622,054","603,539","598,366","593,268","591,414","575,138","570,130","548,444","540,066","559,962","565,553","568,598","575,405","583,275","574,860","569,146","566,488","563,441","559,823","557,013","556,409","555,719","554,298","553,923","554,455","553,999"
25,"552,982","546,174","537,861","536,205","538,327","545,583","552,315","574,679","605,990","599,881","595,255","595,791","588,505","584,535","586,030","587,553","583,034","581,689","590,613","596,580","608,995","620,273","633,675","625,268","610,427","599,107","622,072","603,453","599,638","592,259","591,152","574,399","569,067","547,261","539,735","559,599","565,633","569,085","575,953","583,037","575,059","568,751","566,118","563,931","560,120","557,166","556,426","555,981","554,385","554,900","555,031"
26,"538,655","529,661","522,821","509,378","508,165","507,596","513,342","521,136","542,471","570,512","566,110","561,617","563,179","556,544","553,810","555,925","556,585","552,165","552,114","561,863","566,955","580,277","589,720","603,901","594,003","578,341","568,232","591,248","572,712","569,191","561,729","560,480","543,313","538,986","517,839","510,144","530,361","536,396","539,508","546,038","552,704","545,197","538,353","535,767","534,570","529,238","527,639","526,683","525,158","523,251","524,958"
27,"551,645","542,750","536,989","528,890","516,072","513,839","512,964","518,949","525,177","544,468","572,552","569,346","564,827","568,193","562,283","560,294","561,934","563,292","558,232","558,298","569,720","575,185","588,704","597,397","612,001","602,300","585,240","574,942","597,968","579,894","576,602","568,932","568,243","549,994","545,702","524,986","516,755","537,661","543,451","546,945","552,452","560,456","553,055","546,033","542,582","542,169","536,599","534,800","533,841","532,338","529,679"
28,"552,678","554,988","547,947","540,256","533,346","520,469","517,214","518,340","523,211","528,406","548,260","576,196","573,312","569,745","573,317","567,704","565,466","566,980","568,104","563,745","563,387","574,731","581,259","593,867","603,555","617,680","607,678","589,971","580,857","603,019","585,808","582,174","573,363","573,324","554,848","550,072","529,162","520,718","541,499","547,935","552,387","557,238","565,197","557,374","550,848","546,783","546,317","541,063","539,664","538,545","537,769"
29,"549,402","555,796","558,595","551,272","547,156","536,864","523,621","521,094","521,233","524,269","530,518","551,837","579,333","577,493","574,399","577,894","572,986","570,193","572,031","572,681","568,498","567,361","579,097","586,755","599,455","609,972","624,141","614,304","595,942","587,849","608,668","592,374","588,697","579,175","578,782","560,385","555,339","534,350","526,446","547,147","553,874","557,712","562,878","570,892","562,317","556,085","551,536","551,517","546,178","544,862","543,008"
30,"553,541","554,608","562,082","564,633","559,038","554,281","541,727","529,679","526,510","525,876","529,703","536,263","559,614","585,590","583,951","582,115","585,952","581,014","577,645","578,545","579,138","575,013","574,790","586,900","595,016","608,237","619,261","633,989","623,215","603,744","595,748","616,288","600,644","596,684","586,486","585,827","567,727","562,199","541,357","533,175","554,469","560,679","564,632","570,175","578,134","570,345","563,256","558,300","558,927","553,864","552,050"
31,"518,725","551,815","552,994","558,685","561,454","555,677","548,703","538,593","527,323","522,553","521,380","525,160","532,567","556,401","580,552","578,745","576,657","581,378","577,421","574,495","576,278","577,650","573,814","573,268","585,041","593,320","606,776","617,122","631,556","620,309","600,546","592,427","612,234","597,606","593,104","583,681","581,937","564,688","559,365","539,007","530,837","552,065","557,476","561,750","567,743","575,810","567,646","560,083","556,657","556,289","551,684"
32,"511,390","520,922","553,419","552,790","558,220","560,353","554,727","548,823","538,603","526,130","522,196","520,689","524,841","533,228","556,610","579,983","578,544","577,466","582,171","578,043","574,928","577,798","579,232","576,013","576,045","586,906","594,932","609,156","619,024","633,370","621,705","602,020","594,287","613,019","598,909","594,023","585,218","583,576","565,533","560,302","540,615","532,809","553,891","559,108","563,418","569,093","576,957","569,579","561,251","557,825","557,767"
33,"505,025","511,835","523,121","555,550","555,877","561,322","563,201","557,657","551,002","539,263","528,008","524,538","522,514","526,944","537,729","560,938","583,076","581,785","581,658","585,727","581,950","577,690","581,304","582,735","579,765","579,644","591,084","599,119","613,298","622,767","637,302","625,511","605,922","598,742","616,741","602,982","598,279","588,846","587,298","569,411","563,175","544,512","536,058","557,219","562,551","567,337","573,027","580,161","572,798","564,593","561,732"
34,"501,024","506,620","513,039","524,690","557,245","557,859","562,911","564,889","557,404","550,071","539,859","529,302","525,561","524,126","529,490","541,481","565,027","585,854","584,054","584,537","587,679","584,465","578,963","583,316","584,531","581,926","581,161","592,984","601,202","616,189","625,499","639,910","628,028","608,201","602,115","618,288","605,290","600,180","591,151","588,769","571,444","564,240","546,279","538,142","559,516","564,404","569,341","575,472","582,175","575,167","565,808"
35,"514,497","500,874","505,432","511,128","524,011","557,195","557,176","562,615","562,798","552,679","546,250","537,291","528,189","524,115","523,366","530,435","543,145","566,105","585,726","583,778","584,194","586,189","583,153","576,847","580,975","582,890","580,452","579,312","591,939","600,456","616,041","625,716","640,375","628,145","607,836","602,734","618,374","605,427","600,335","591,283","588,590","570,973","564,752","546,293","537,519","559,229","564,636","569,551","575,411","582,616","575,360"
36,"497,974","510,940","496,205","500,696","507,466","520,469","552,096","553,291","557,582","556,253","546,493","541,447","532,702","524,612","520,135","519,949","527,924","539,938","562,149","581,295","579,704","580,907","582,544","579,866","574,374","578,323","580,561","578,790","577,464","589,568","598,118","613,965","622,809","636,669","624,420","603,708","598,895","614,569","601,899","596,858","587,436","585,132","567,124","560,726","542,714","534,000","555,320","561,192","565,856","571,352","579,748"
37,"502,295","497,812","511,476","496,185","501,510","508,458","520,937","552,713","553,660","556,003","554,848","545,776","541,497","533,234","525,941","521,085","521,349","529,124","541,057","562,820","582,284","580,989","582,755","583,311","580,583","575,275","579,915","582,884","580,609","579,317","591,503","599,540","615,504","624,510","637,867","625,161","604,678","600,232","615,147","602,244","597,768","587,775","585,832","568,167","561,390","543,486","535,331","555,935","561,881","566,997","571,688"
38,"512,638","501,543","496,998","509,931","495,289","501,284","507,842","520,641","551,738","551,275","554,124","552,962","544,480","540,545","532,687","525,884","519,914","520,976","528,756","540,659","562,185","581,613","580,916","582,646","583,002","580,799","574,825","579,050","582,924","580,365","579,081","591,350","599,402","615,630","624,854","637,747","625,062","604,747","600,219","614,464","602,100","598,029","587,867","585,700","568,726","561,380","543,152","535,531","556,100","561,823","566,884"
39,"537,263","511,203","500,526","495,784","509,085","494,773","500,313","506,396","519,040","548,506","549,259","552,078","551,007","542,457","538,895","531,552","524,802","518,904","520,223","528,666","540,026","560,834","580,690","580,060","581,872","581,720","579,299","573,008","577,204","581,506","578,851","577,516","590,417","598,321","614,224","624,394","637,026","623,950","604,056","600,124","613,388","601,511","597,290","587,146","584,960","568,107","561,092","542,506","535,163","555,553","561,307"
40,"559,760","535,625","509,834","498,951","494,249","508,046","493,100","499,335","504,787","516,297","546,545","546,806","549,588","548,224","540,023","536,742","529,181","522,675","517,211","518,915","527,441","538,452","558,091","578,714","577,692","579,580","579,270","576,196","569,832","574,214","578,567","576,046","574,733","587,989","596,390","612,738","622,668","635,026","622,093","602,468","598,780","611,405","599,914","595,820","585,066","583,378","566,459","559,585","541,050","534,039","554,260"
41,"529,763","559,751","535,900","508,613","497,009","492,148","505,349","491,524","497,114","501,504","512,935","543,592","544,989","547,920","547,372","539,397","535,811","528,024","521,077","516,006","517,299","525,888","536,963","556,573","577,321","576,424","578,509","578,174","575,597","569,514","573,514","578,573","575,627","574,603","587,347","596,421","612,251","621,867","633,196","620,372","600,803","597,557","608,871","597,981","594,122","583,147","581,924","564,640","558,196","539,689","532,838"
42,"514,220","528,397","557,806","533,392","505,430","493,923","488,792","502,342","488,451","492,660","497,487","508,871","539,461","541,475","544,915","544,819","537,063","533,624","525,867","518,583","513,733","515,383","523,954","534,641","554,395","575,308","574,018","576,634","575,875","573,713","567,690","571,730","576,879","573,876","573,138","585,171","593,889","609,829","620,008","630,857","618,312","598,400","595,405","606,283","595,373","592,116","581,064","579,769","562,124","556,314","537,740"
43,"506,720","513,430","527,775","555,689","531,975","504,130","491,260","486,676","499,570","484,816","489,251","494,544","506,272","537,026","539,143","543,153","542,900","535,337","532,328","524,173","517,074","512,192","514,091","522,494","532,995","552,885","573,773","572,378","575,100","574,152","572,050","566,046","570,525","575,528","572,301","571,578","584,111","592,341","608,274","618,785","629,359","616,836","597,231","593,645","604,652","593,914","590,395","579,602","578,371","560,132","554,649"
44,"509,695","507,478","513,832","527,781","555,819","531,146","502,542","490,204","485,035","496,460","483,116","487,787","493,366","505,069","535,928","538,332","542,871","542,573","535,054","532,429","523,879","517,018","512,034","514,069","522,781","532,727","553,070","573,845","572,326","574,653","574,285","571,430","565,828","570,000","575,513","571,983","571,402","584,048","592,764","608,471","619,449","629,274","617,316","597,840","594,206","604,662","593,805","590,731","579,922","578,489","560,453"
45,"536,346","507,377","505,057","510,818","525,115","552,670","527,810","499,896","487,180","480,754","492,937","480,048","484,540","490,689","502,337","533,145","535,270","539,798","539,640","532,235","530,117","521,199","514,172","509,535","511,191","519,848","529,500","549,562","570,446","568,924","571,016","570,590","567,299","561,953","566,024","571,743","568,363","568,194","580,632","589,556","604,682","616,250","626,306","614,748","595,147","591,502","601,958","590,997","588,136","577,546","575,577"
46,"540,377","534,519","504,956","502,498","508,405","521,800","548,810","524,636","495,946","482,365","476,058","488,649","476,215","480,842","487,168","499,335","529,914","531,292","536,068","536,164","528,530","526,413","517,322","510,389","505,636","507,463","516,160","525,838","545,930","566,601","565,602","567,577","567,669","564,327","559,389","563,200","569,284","566,202","565,513","577,817","586,432","601,413","612,905","622,738","610,264","591,542","587,785","597,577","586,688","584,100","573,307"
47,"538,055","538,154","532,256","502,394","499,251","505,873","519,660","547,183","522,448","492,474","479,188","473,219","485,637","473,580","478,484","484,953","497,402","527,588","529,428","533,328","533,809","526,171","524,440","515,332","508,416","503,776","505,710","514,220","523,929","543,623","564,646","563,536","565,652","565,534","562,288","557,474","561,072","567,361","564,879","563,624","576,251","585,275","599,446","610,860","620,579","607,570","589,593","585,902","595,099","584,820","582,564"
48,"532,535","535,955","535,467","529,388","499,955","496,686","503,293","517,750","544,553","518,809","489,069","476,317","470,516","483,063","471,322","476,143","482,624","495,029","525,132","527,422","530,824","531,685","523,670","522,189","513,354","506,306","501,615","503,331","511,812","521,929","541,290","562,971","561,447","563,324","563,146","560,167","555,159","558,163","564,870","563,184","561,337","573,694","582,992","596,909","608,738","618,081","604,449","586,894","583,443","592,567","582,610"
