"Total Estimated and Projected Population of California by Age: July 1, 2010 to July 1, 2060 in 1-year Increments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"536,128","529,891","533,314","531,720","525,724","496,599","493,218","499,618","514,163","539,608","514,780","484,999","472,971","467,062","479,744","468,707","473,230","480,153","491,978","522,160","524,743","527,581","528,878","520,887","519,481","510,251","503,694","498,898","500,755","509,249","518,777","538,063","559,630","558,431","560,233","560,026","557,139","552,107","555,132","561,613","560,167","557,974","570,849","580,422","593,977","605,893","615,227","601,899","584,551","580,985","589,559"
50,"547,125","534,689","528,056","530,772","529,508","524,434","494,823","491,065","497,144","510,769","536,961","512,391","482,770","471,397","465,575","478,138","467,302","472,259","478,933","490,658","520,805","523,635","526,349","527,551","519,504","518,427","508,907","502,940","497,718","499,634","507,939","517,144","536,196","557,968","556,606","558,288","558,123","555,396","549,730","552,773","559,580","558,309","556,041","568,899","579,286","592,765","604,784","614,114","600,902","583,073","579,713"
51,"519,550","547,110","535,302","527,612","530,187","529,274","523,075","493,408","489,231","494,372","508,359","535,085","510,693","481,403","470,636","465,072","477,806","466,668","471,721","478,451","490,138","520,218","522,769","525,287","526,708","518,720","517,687","508,290","502,788","497,547","499,093","507,927","517,031","536,060","558,165","557,008","558,793","558,501","556,092","550,609","553,885","560,671","559,666","556,430","569,818","580,072","593,230","605,249","614,083","600,914","583,259"
52,"514,305","516,212","543,084","530,634","523,159","526,229","524,585","518,083","488,539","483,840","489,397","503,482","530,427","506,361","477,086","466,993","461,119","473,949","462,258","467,781","474,173","486,048","515,833","518,589","521,136","522,320","514,278","513,557","504,326","498,419","493,772","495,026","503,850","512,941","531,993","553,941","552,655","554,063","553,915","551,718","546,858","549,707","556,580","555,943","552,607","565,782","576,205","588,738","600,487","609,661","596,646"
53,"502,419","510,852","512,616","539,771","527,569","520,754","523,013","521,751","514,742","484,292","480,257","485,705","499,705","527,068","503,418","474,475","464,080","458,303","471,403","459,288","465,102","471,030","483,031","512,718","515,192","518,155","519,382","511,332","510,340","501,083","495,608","490,971","492,296","501,380","510,000","529,392","551,012","549,983","551,014","550,821","548,689","543,706","546,798","553,929","553,071","549,719","562,997","573,608","586,021","597,418","606,479"
54,"492,498","499,849","508,578","509,750","537,062","524,974","517,542","520,209","518,460","510,739","480,545","476,687","482,839","496,883","524,337","500,629","471,964","461,891","456,050","469,264","457,032","462,910","468,752","480,749","510,474","512,770","515,950","516,798","508,736","507,954","498,568","493,297","488,766","489,767","499,007","507,153","526,883","548,654","547,633","548,451","548,093","546,044","540,572","544,402","551,432","550,379","547,285","560,702","571,311","583,670","594,773"
55,"486,723","488,940","496,458","503,828","505,461","532,844","520,738","513,590","515,749","511,986","505,091","475,469","471,775","478,174","492,397","520,181","496,932","468,341","458,601","452,615","465,828","453,701","459,801","465,599","477,408","507,072","509,115","512,239","512,941","505,314","504,378","494,755","489,561","484,993","485,783","494,894","502,975","522,791","544,441","543,387","543,576","543,765","541,466","535,694","539,413","546,942","545,579","542,555","556,585","567,222","579,609"
56,"461,564","483,929","486,667","493,265","500,177","501,810","528,736","516,675","509,970","511,455","507,660","500,937","471,539","468,224","475,080","489,175","517,247","493,973","465,798","455,944","449,874","463,267","451,124","456,781","462,660","474,073","504,491","505,949","509,223","509,645","502,208","501,193","491,839","486,859","482,671","483,418","492,672","501,006","520,065","542,033","540,909","541,390","541,632","539,135","533,657","537,105","544,793","543,374","540,773","554,145","564,906"
57,"444,164","458,699","481,117","483,984","490,154","496,897","498,452","525,511","512,695","505,460","507,496","503,915","497,474","468,383","465,250","472,519","486,388","514,218","491,029","463,234","453,282","447,010","460,756","448,630","454,125","460,185","471,178","501,563","502,869","506,461","506,351","499,030","498,536","488,783","484,151","479,936","480,751","489,853","498,366","517,008","539,477","538,092","538,428","539,437","536,844","531,493","534,574","542,471","541,099","538,573","551,796"
58,"422,057","440,953","455,474","477,042","480,032","485,708","492,171","493,734","520,563","507,300","500,273","502,526","499,585","493,007","464,417","461,605","468,893","482,622","510,286","487,193","459,664","449,700","443,463","457,268","445,337","450,728","456,340","467,747","497,742","499,301","502,959","503,119","495,738","495,292","485,117","480,779","476,848","477,510","486,703","495,091","513,563","536,209","535,165","534,934","535,971","533,947","528,067","531,374","538,899","538,152","535,643"
59,"407,005","417,724","437,218","451,212","472,403","475,276","480,481","487,432","488,899","514,755","501,916","495,441","497,774","495,227","488,533","460,784","457,691","465,300","478,695","506,165","483,342","456,072","446,139","439,664","453,841","441,950","447,338","452,879","464,404","494,473","495,554","499,330","499,213","491,698","491,609","481,402","476,979","473,174","473,995","483,122","491,365","509,440","532,177","531,226","530,482","531,723","530,236","524,098","527,377","535,013","534,060"
60,"405,083","402,860","413,456","432,454","446,579","467,357","470,476","476,268","482,818","483,391","509,778","497,195","490,758","493,604","491,447","484,534","456,777","453,638","461,498","474,665","502,111","479,613","452,342","442,974","435,814","450,326","438,254","443,840","449,378","460,214","490,875","491,649","495,230","495,620","487,667","487,607","477,510","472,935","469,497","470,290","479,004","487,410","504,981","527,708","527,054","525,866","527,392","525,860","519,830","522,755","530,515"
61,"385,648","402,404","400,512","410,562","429,290","443,518","463,578","466,663","472,484","478,323","478,574","504,959","492,901","486,661","489,922","488,263","481,411","453,526","450,383","458,174","471,290","498,128","476,266","449,083","439,999","432,637","447,619","434,925","440,600","446,203","456,866","487,381","488,249","491,749","492,208","484,351","484,512","473,988","469,907","466,340","467,768","476,119","484,865","502,386","525,089","524,577","523,476","525,339","523,730","517,717","520,687"
62,"380,798","381,866","398,392","396,467","406,117","424,853","438,516","458,631","461,131","466,830","472,559","473,036","499,346","487,889","481,950","484,956","483,524","476,897","449,018","446,075","453,746","467,097","493,423","471,948","444,963","436,287","428,527","443,399","431,105","436,513","442,075","452,631","483,007","483,384","487,559","487,614","479,989","480,105","469,756","465,885","462,378","464,010","472,339","480,855","498,184","520,782","520,421","518,947","521,283","519,360","513,617"
63,"372,990","378,872","379,865","395,507","392,986","402,133","419,732","434,772","454,603","455,980","461,973","468,156","468,560","494,899","483,858","478,321","481,057","479,734","473,209","445,694","442,658","450,366","463,573","489,659","468,598","441,860","433,239","425,535","440,143","427,878","433,765","439,253","449,304","480,202","480,185","484,683","484,253","477,417","476,942","466,967","462,935","459,673","461,152","469,799","478,133","495,325","517,944","517,605","516,068","518,621","516,702"
64,"311,795","368,526","374,591","375,051","390,307","387,880","396,685","414,177","428,896","447,741","449,925","456,118","462,599","463,119","489,372","478,870","473,360","476,035","475,098","468,454","441,217","438,470","445,859","459,019","484,705","464,082","437,474","429,313","421,635","436,067","423,948","429,698","434,937","445,090","475,551","475,870","480,299","479,911","472,853","472,500","462,618","458,598","455,348","456,780","465,479","473,684","490,948","513,143","512,744","511,337","513,741"
65,"291,651","307,734","364,016","369,797","370,875","385,187","382,010","391,306","408,554","422,510","442,129","444,369","450,820","457,455","457,976","484,367","473,888","468,723","471,139","470,251","463,806","436,757","434,201","441,454","454,505","479,820","459,498","433,479","425,108","417,815","431,963","419,994","426,174","431,198","441,021","471,204","471,563","475,980","475,889","468,709","467,913","458,279","454,269","451,074","452,520","461,051","469,003","486,283","508,315","507,825","506,697"
66,"279,222","287,826","303,757","358,691","364,043","364,703","377,775","375,309","384,532","401,399","414,400","434,323","436,976","443,407","450,560","450,983","477,209","466,730","461,458","463,917","463,365","456,960","430,334","427,991","435,114","448,288","473,200","453,073","427,615","419,251","411,764","425,897","413,922","420,457","425,055","434,644","464,410","464,972","469,213","469,239","462,592","461,109","452,169","448,173","445,179","446,907","455,360","463,512","480,537","502,299","501,795"
67,"271,843","276,363","285,259","300,483","354,882","360,082","359,967","373,627","370,654","379,132","395,681","408,656","428,601","431,661","437,992","445,585","445,826","471,855","461,534","456,331","458,922","458,409","451,946","425,900","423,674","430,556","443,440","468,177","448,371","423,458","415,370","407,673","421,775","409,617","416,322","420,808","430,308","460,222","460,699","464,811","464,778","458,189","457,037","448,069","443,856","441,305","443,097","451,397","459,719","476,431","498,406"
68,"246,799","269,069","273,019","281,634","296,702","350,503","354,626","354,636","368,245","364,845","373,790","390,425","403,221","423,066","426,310","432,753","440,452","440,996","466,571","456,577","451,175","453,860","453,313","447,136","421,579","419,303","426,076","438,832","463,078","443,469","419,234","411,330","403,631","417,411","405,348","412,223","416,707","425,993","455,718","456,279","460,593","460,529","453,756","452,639","443,983","439,775","437,439","439,237","447,206","455,701","472,262"
69,"227,547","243,744","265,976","269,748","278,497","293,374","346,250","350,093","349,882","363,324","360,477","369,527","385,942","399,019","418,598","422,043","428,360","436,017","436,598","462,180","452,229","446,846","449,616","449,066","442,847","417,652","415,582","422,244","435,027","459,178","439,430","415,665","407,852","400,352","414,177","402,175","409,226","413,436","422,667","452,249","452,511","457,236","456,936","450,199","449,336","440,524","436,514","434,218","436,167","444,033","452,374"
70,"217,230","224,802","240,558","262,224","266,096","275,028","289,366","342,047","345,762","344,929","359,163","356,400","365,538","381,849","394,990","414,591","417,528","423,996","431,653","432,152","457,472","447,696","442,620","444,980","444,544","438,394","413,721","411,670","418,183","430,729","454,731","435,051","411,840","404,111","396,690","410,504","398,798","405,705","409,973","419,089","448,330","448,728","453,166","453,184","446,448","445,419","436,645","432,726","430,371","432,478","440,046"
71,"205,511","213,852","221,360","236,712","258,015","261,987","270,747","284,510","336,633","339,895","338,090","352,122","349,840","359,024","375,243","388,365","407,926","410,691","417,542","424,803","425,316","450,270","441,046","435,980","438,295","438,019","432,170","407,802","405,936","412,586","424,907","448,295","429,201","406,296","398,617","391,555","404,975","393,813","400,535","404,737","413,674","442,351","442,928","447,485","447,689","441,127","440,243","431,426","427,411","425,430","427,823"
72,"196,197","202,738","210,940","218,015","233,056","253,817","257,580","266,580","279,716","331,103","334,068","332,482","346,359","344,391","353,365","369,347","382,274","401,621","404,463","411,245","418,787","419,114","443,601","434,618","429,810","432,165","431,566","426,202","402,313","400,642","407,377","419,271","442,318","423,637","401,259","393,589","386,654","399,759","388,951","395,498","399,779","408,813","437,005","437,696","442,236","442,603","436,072","435,302","426,573","422,376","420,696"
73,"184,582","192,924","199,491","207,337","214,543","229,210","249,633","253,439","262,443","274,411","325,371","328,686","327,098","340,868","339,031","348,216","363,854","376,839","395,666","398,549","405,188","412,505","413,403","437,449","428,429","423,620","426,315","425,736","420,634","397,035","395,557","402,222","413,967","436,574","418,243","396,453","388,882","381,936","394,932","384,261","390,949","395,337","404,297","432,013","432,721","437,195","437,772","431,707","430,798","422,347","417,886"
74,"176,115","181,102","189,356","195,711","203,534","210,370","224,051","244,161","248,162","257,462","269,409","319,668","323,161","321,745","335,340","333,466","342,760","357,924","370,909","389,435","392,333","399,134","405,957","407,011","430,807","421,820","417,337","420,135","419,459","414,679","391,438","390,051","396,726","408,310","430,461","412,578","391,235","383,710","376,905","389,917","379,358","386,140","390,298","399,363","426,781","427,337","431,831","432,269","426,390","425,555","417,497"
75,"170,548","173,908","178,606","186,223","192,653","200,363","206,860","220,234","239,838","243,946","254,058","265,814","315,564","318,930","317,805","331,196","329,478","338,819","353,382","366,423","384,543","387,589","394,311","401,051","402,096","425,732","416,859","412,604","415,185","414,697","409,633","387,171","385,860","392,456","403,995","425,654","408,208","387,198","379,795","373,152","386,151","375,671","382,717","386,650","395,450","422,660","423,180","427,598","428,069","422,317","421,255"
76,"156,682","164,709","167,830","171,849","179,916","186,478","193,479","199,592","212,592","231,262","234,270","244,109","255,838","304,608","308,102","307,304","322,610","321,233","330,111","344,614","357,400","374,937","377,811","385,222","391,880","392,756","416,119","407,190","403,572","406,329","405,837","401,088","379,401","378,249","384,616","395,846","417,232","400,181","380,059","373,154","366,854","379,542","369,177","376,051","380,208","389,021","415,196","416,242","420,602","421,334","415,683"
77,"151,595","150,769","158,823","161,861","165,404","173,131","179,259","186,709","192,513","204,769","222,647","225,641","235,427","246,951","294,502","298,006","299,119","313,638","312,506","321,423","335,403","347,669","365,064","367,737","375,055","381,510","382,754","405,480","396,955","393,358","396,307","396,057","391,245","370,547","369,796","375,818","386,971","407,489","391,211","371,541","365,124","359,333","371,976","361,750","368,531","372,398","381,235","406,600","408,336","412,174","413,111"
78,"145,684","145,278","144,399","152,477","155,572","159,072","166,237","172,083","179,638","185,117","196,873","214,538","217,483","227,112","238,505","285,024","289,778","291,207","305,495","304,367","313,216","327,114","338,973","355,831","358,903","366,020","372,619","374,200","395,701","387,843","384,310","387,390","387,375","382,643","362,276","362,067","367,618","378,727","398,934","383,255","363,585","357,883","351,699","364,312","354,449","360,940","364,751","373,417","398,282","400,349","403,839"
79,"143,570","140,429","140,735","139,281","147,684","150,799","154,083","160,965","166,685","173,862","179,752","191,297","208,788","211,686","221,381","232,434","279,002","283,822","285,365","299,447","298,528","306,970","320,942","332,548","349,146","352,367","359,226","366,239","367,600","388,275","380,980","377,576","380,894","380,682","376,442","356,767","356,572","361,826","372,902","392,679","377,228","357,792","352,251","346,428","359,000","349,109","355,766","359,543","368,017","392,185","394,275"
80,"138,769","139,430","136,616","136,751","135,113","143,281","146,150","149,100","155,721","161,587","169,972","175,815","187,269","204,279","207,187","216,710","229,108","274,481","279,380","280,890","294,895","294,125","302,584","316,000","327,596","344,017","347,343","353,839","361,004","362,467","382,752","375,757","372,704","375,915","375,547","371,699","352,534","352,570","357,516","368,551","387,575","372,746","354,039","348,617","342,805","355,388","345,718","352,423","356,055","364,545","388,193"
81,"127,389","132,458","133,169","129,883","130,404","128,180","135,753","139,152","141,850","147,996","152,452","160,924","166,357","177,324","193,796","196,959","206,865","218,847","262,340","266,907","268,512","282,421","281,658","289,647","302,853","314,066","329,826","333,298","339,629","346,669","348,139","367,619","360,934","358,172","361,738","361,362","357,906","339,530","339,604","344,884","355,136","373,282","359,435","341,658","336,639","331,059","343,355","333,983","340,669","344,276","352,691"
82,"119,778","120,511","125,683","126,213","123,106","123,918","121,331","129,045","132,268","134,715","139,995","144,336","152,356","157,696","168,586","184,384","188,739","198,159","209,728","251,240","255,979","257,660","271,011","270,698","277,964","291,126","301,917","316,838","320,616","326,840","333,824","335,618","354,207","348,279","345,309","349,284","348,724","345,942","328,274","328,424","333,772","343,741","361,142","347,944","331,039","326,518","321,129","333,018","323,897","330,888","334,483"
83,"113,121","113,324","114,133","119,192","119,873","116,650","117,456","114,707","122,377","125,593","128,149","133,144","137,598","145,298","150,309","160,838","176,927","181,453","190,468","201,409","241,174","245,669","247,480","260,513","260,409","267,212","279,824","290,567","304,636","308,740","314,561","321,635","323,365","341,528","335,614","332,842","336,809","336,889","334,199","316,949","317,161","322,437","332,631","349,235","336,648","320,430","316,396","311,300","322,910","314,104","321,108"
84,"105,852","106,046","106,213","106,564","111,668","112,310","108,540","109,932","106,848","114,410","118,474","121,040","126,167","130,454","137,813","142,752","153,943","169,270","173,904","182,425","193,177","230,958","235,489","237,335","249,912","249,695","256,528","268,493","279,121","292,642","296,692","302,615","309,590","311,149","329,039","323,152","320,959","324,918","324,941","322,100","305,858","306,276","311,717","321,440","337,454","325,493","310,012","306,095","301,433","312,666","304,409"
85,"99,613","98,768","99,093","99,219","99,350","104,143","104,614","101,116","102,358","99,241","108,434","112,388","114,912","119,913","124,063","131,200","137,010","147,776","162,242","167,045","175,237","185,615","221,756","226,372","228,093","240,519","240,166","246,835","258,610","268,866","281,906","285,547","291,494","297,992","299,636","316,861","311,648","309,415","313,597","313,565","311,281","295,499","296,212","301,362","310,882","326,376","315,198","300,172","296,407","292,383","303,289"
86,"90,999","95,926","95,282","95,463","96,169","95,732","100,524","100,818","97,680","99,530","94,936","103,379","106,955","109,308","113,902","117,983","121,472","126,724","136,950","150,092","154,370","162,126","171,852","205,074","209,482","211,314","222,958","222,796","229,262","240,210","249,978","262,101","265,657","271,494","277,528","279,536","295,629","290,508","288,897","292,808","292,955","291,289","276,528","277,264","282,532","291,712","305,994","295,650","281,893","278,758","274,944"
87,"79,651","85,156","90,406","89,857","90,812","90,995","90,554","94,719","95,099","92,441","93,485","89,129","96,998","100,360","102,581","106,845","107,667","111,157","115,952","125,556","137,532","141,678","148,861","157,857","188,348","192,880","194,555","205,406","205,366","211,442","221,890","230,960","242,527","246,113","251,723","257,338","259,378","274,316","269,759","268,557","272,441","272,503","270,823","257,723","258,492","263,553","272,239","285,569","276,212","263,710","260,785"
88,"70,912","74,499","79,829","84,927","84,933","85,802","85,993","85,176","89,002","90,418","87,424","88,256","84,509","91,802","94,696","96,786","98,369","99,078","102,200","106,806","115,830","126,693","130,564","137,310","145,939","173,948","178,283","179,922","190,094","190,222","195,815","205,933","214,278","224,961","228,891","234,174","239,146","241,320","255,391","251,375","250,136","254,129","254,375","253,147","240,780","241,695","246,534","255,060","267,648","258,872","247,153"
89,"61,031","64,915","68,332","73,695","79,261","78,972","80,245","80,195","79,275","83,112","84,776","82,048","82,836","79,422","86,165","88,885","88,357","89,804","90,513","93,457","97,725","106,017","116,342","119,783","126,058","134,242","159,996","164,267","165,874","175,390","175,506","181,148","190,362","198,588","208,465","212,050","217,265","222,029","223,900","237,310","233,957","232,797","236,685","236,689","235,864","224,536","225,318","230,199","238,507","249,936","242,123"
90,"49,615","55,905","59,754","63,179","69,220","74,313","73,946","75,109","75,086","74,221","78,532","80,282","77,678","78,449","75,623","81,736","82,667","82,303","83,578","84,328","86,966","90,987","98,555","108,421","111,524","117,328","125,044","148,826","153,007","154,502","163,635","163,730","169,257","177,651","185,347","194,587","198,182","203,228","207,654","209,686","222,291","219,197","218,174","221,982","221,910","221,557","211,051","211,739","216,369","224,526","235,343"
91,"37,917","41,576","47,992","51,918","56,158","61,671","66,650","66,163","66,889","67,360","62,705","66,308","67,916","65,807","66,524","64,282","68,567","69,404","69,303","70,418","71,133","73,538","77,115","83,560","92,284","95,019","100,016","107,119","127,322","131,630","132,891","141,092","141,006","146,091","153,336","160,195","168,693","172,079","176,768","180,703","182,675","193,824","191,440","190,731","194,064","194,325","194,557","185,307","185,987","190,308","197,789"
92,"30,152","31,217","33,996","40,266","44,438","48,029","53,348","58,051","57,869","58,903","56,438","52,634","55,956","57,202","55,427","56,226","54,514","57,893","58,801","58,687","59,857","60,352","62,654","65,768","71,403","78,948","81,443","85,935","92,238","109,550","113,410","114,717","122,274","122,191","126,564","133,111","139,610","147,069","150,169","154,374","157,877","159,785","169,563","167,831","167,124","170,578","170,534","171,308","163,194","163,948","167,965"
93,"23,705","23,831","24,696","26,798","32,873","36,676","39,991","44,612","49,286","49,741","49,323","47,166","44,088","46,982","48,017","46,459","47,251","45,995","48,828","49,541","49,653","50,568","51,182","53,090","55,930","60,821","67,645","69,807","73,728","79,285","94,156","97,625","99,043","105,689","105,726","109,822","115,681","121,395","128,172","130,997","134,696","137,971","139,777","148,097","146,955","146,582","149,901","150,214","150,950","143,964","144,582"
94,"18,608","18,466","18,508","18,872","20,604","26,069","29,397","31,886","36,326","41,360","41,868","41,498","39,764","37,047","39,536","40,501","39,120","39,968","38,900","41,475","41,906","42,351","42,950","43,740","45,344","47,953","52,081","57,959","60,118","63,696","68,540","81,248","84,464","85,834","91,779","91,828","95,615","100,775","105,985","111,859","114,439","117,958","120,942","122,637","130,050","129,023","129,026","132,170","132,535","133,325","127,372"
95,"14,261","14,043","13,769","13,495","13,908","14,630","19,503","21,864","24,152","28,851","34,665","35,070","34,893","33,413","31,191","33,249","34,300","32,937","33,877","32,839","35,252","35,563","36,028","36,627","37,435","38,784","41,154","44,754","49,834","51,780","54,843","59,096","70,311","73,263","74,327","79,884","79,992","83,457","87,997","92,590","97,757","100,274","103,369","106,167","107,744","114,162","113,691","113,596","116,731","117,120","117,967"
96,"10,693","10,479","10,119","9,503","8,915","8,531","8,162","11,457","13,845","16,241","21,404","25,865","26,208","26,185","25,049","23,442","25,035","26,026","24,877","25,606","24,914","26,913","27,222","27,497","28,171","28,958","30,046","32,040","34,748","38,849","40,415","43,071","46,477","55,384","57,885","58,834","63,267","63,622","66,553","70,193","73,995","78,300","80,575","83,423","85,722","87,077","92,324","92,156","92,207","94,708","95,218"
97,"7,799","7,639","7,432","6,902","6,128","5,027","4,649","4,732","6,661","8,963","12,190","15,966","19,577","19,805","19,866","18,933","17,924","18,998","19,900","19,059","19,594","19,175","20,800","21,067","21,356","21,878","22,518","23,440","25,132","27,323","30,589","31,882","33,958","36,763","43,866","46,060","46,851","50,482","50,641","53,431","56,222","59,607","63,043","65,039","67,300","69,451","70,770","74,987","75,064","75,196","77,314"
98,"5,354","5,268","4,992","4,686","4,178","3,281","2,572","2,474","2,889","4,298","6,593","8,948","11,961","14,566","14,912","14,908","14,236","13,506","14,379","15,014","14,413","14,927","14,583","15,974","16,206","16,443","16,905","17,390","18,178","19,616","21,380","23,909","24,931","26,619","29,014","34,675","36,580","37,232","40,410","40,274","42,813","44,975","48,120","50,873","52,533","54,557","56,316","57,400","60,859","61,275","61,374"
99,"3,619","3,551","3,358","2,933","2,709","2,158","1,756","1,546","1,554","1,903","3,199","4,898","6,618","8,993","10,979","11,225","11,288","10,755","10,305","10,921","11,435","11,031","11,422","11,204","12,292","12,603","12,740","13,163","13,590","14,222","15,324","16,867","18,811","19,616","21,076","22,948","27,769","29,309","29,797","32,253","32,298","34,456","36,264","38,860","41,158","42,801","44,419","45,850","46,809","49,661","50,232"
100,"6,120","5,665","5,088","4,179","3,603","3,238","3,081","2,795","2,680","2,680","2,948","4,174","6,328","9,086","12,698","16,494","19,405","21,642","22,500","22,903","23,678","24,509","24,785","25,483","25,842","27,037","28,275","29,335","30,498","31,549","32,987","35,112","37,722","41,283","44,545","48,359","52,763","59,843","66,345","71,443","77,165","81,758","86,961","92,323","98,756","105,263","111,643","117,965","124,263","129,825","136,761"
"Projections Prepared by Demographic Research Unit, California Department of Finance, January 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Projections Prepared by Demographic Research Unit, California Department of Finance, January 2020",,,,,,,,,,,,,,,,,,
